agency,code,description,unit,zone_a,zone_b,zone_c,zone_d
BWDB,40-720-10,Length: >= 4.5 m to <= 6.0 m.,no,339.66,308.94,308.94,327.19
BWDB,40-720-20,Length: >= 2.0 m to <4.5 m.,no,169.86,154.5,154.5,163.62
BWDB,40-730-00,bamboo pins of diameter >=,,181.0,40.0,730.0,8.0
BWDB,40-730-10,nd. m to <= 2.0,m,21520.0,21130.0,21130.0,195.71
BWDB,40-730-20,including necessary staging etc. as} ™,,112.93,110.98,110.98,103.19
BWDB,40-730-30,">= 0.75 m to < 1.50 m, on dry land.",m,143.73,141.13,141.13,130.74
BWDB,40-730-40,including necessary staging etc. as} ™,,77.23,75.93,73.93,70.74
BWDB,40-740-00,full barrack bamboo half split walling m - - - - pieces with nails average 1.00 m apart including supply of all materials as per direction of Engineer in charge. [82(1) | 40-740-10 |Double Walling.,m,91.9,86.38,86.38,88.28
BWDB,40-740-20,Single Walling.,m,52.82,50.06,50.06,51.01
BWDB,40-750-10,Bullah,m,64.11,62.95,62.95,58.28
BWDB,40-750-20,Walling pieces,m,16.87,16.56,16.56,15.34
BWDB,40-750-30,Old bamboo pieces and struts,no,13.5,13.25,13.25,12.27
BWDB,40-760-00,doubly woven matting with necessary! som,,233.45,233.23,233.23,232.35
BWDB,40-770-00,"protective works, including carriage of) 84m",,360.37,359.93,359.93,358.17
BWDB,40-810-00,75mm to 100mm dia wooden/bamboo|,sqm,2210.52,2188.78,2204.36,2121.57
BWDB,40-820-00,wooden/bamboo posts at 3.0m c/e both},sqm,291.38,286.35,286.35,269.36
BWDB,40-830-00,SPreading and tying with 12 SWG) com,,121.82,11879.0,118.79,112.94
BWDB,40-840-00,Manufacturing and supplying,,189.0,40.0,840.0,100.0
BWDB,40-840-10,"0.90mx0.60mx0.45m, with first class bricks/brick bats (minimum 1/2 brick).",each,2839.45,2811.52,2835.82,2733.37
BWDB,40-840-20,"0.90mx0.60mx0.45m, with boulders (minimum size 120mm).",each,3154.35,3311.41,2908.88,2853.44
BWDB,40-840-30,"0.60mx0.60mx0.45m, filled with first class bricks/brick bats (minimum 1/2 brick).",each,3.0,40.0,840.0,30.0
BWDB,40-840-40,"0.60mx0.60mx0.45m, filled with boulders (minimum size",,120.0,2225.45,2329.86,2061.51
BWDB,40-840-50,"0.50mx0.50mx0.45m, filled with first class bricks/brick bats (minimum 1/2 brick).",each,1497.38,1484.05,1495.34,1442.0
BWDB,40-840-60,"0.50mx0.50mx0.45m, filled with boulders (minimum size 120mm).",each,1642.5,1714.88,1528.44,1496.89
BWDB,40-850-10,75mm thick brick mattressing.,sqm,23.42,23.13,23.13,21.72
BWDB,40-850-20,150mm thick brick mattressing.,sqm,44.55,44.01,44.01,41.35
BWDB,40-860-10,Filled with bricks/brickbats.,each,8683.15,8155.78,8177.37,8327.32
BWDB,40-860-20,Filled with boulders.,each,8939.16,8576.5,8218.7,8411.83
BWDB,40-870-00,"Construction of double row bamboo spur, with full length barrack bamboo, 60mm to 75mm dia and 3.0m to 4.5m long, 0.30m ¢/c, 1.5m apart and single row runner with half split bamboo on both sides, of",each,2395.99,2231.77,2231.77,2273.86
BWDB,40-880-00,"Construction of double row bamboo spur, with full length barrack bamboo of average 60mm to 75mm dia and 4.5m to 6.0m long, at 0.30m c/c, two rows at 1.5m apart and stays with bamboo at 3.0m apart on D/S side of| the spur and single row runner with ha",each,4123.92,3873.9,3873.9,3918.93
BWDB,40-900-00,"Construction of single row bamboo spur, with full length barrack bamboo of average 60mm to 75mm dia and 6.0m to 7.5m long, at 0.3m c/e and stays with bamboo at 3",m,2534.52,2357.17,2357.17,2414.08
BWDB,40-910-00,Supplying of brush wood compacted in bundle not more than 75cm. dia and 180cm. in length tied securely with coir string and dumping the same in position etc. complete with supply off all materials and as per direction of| Engineer in charge.,cum,675.69,667.51,667.51,634.78
BWDB,40-920-00,"Earth work in cutting and filling of eroded bank of river, channel etc. to design slope, including levelling, dressing and compacting the earth in 150mm layers and preparation of the! base for bank protection work and use the excess material for fill",cum,253.44,248.87,248.87,230.46
BWDB,44-130-10,400mm dia,,9852.65,9852.65,9852.65,9849.96
BWDB,44-130-20,500mm dia,,12240.44,12240.44,12240.44,12237.76
BWDB,44-130-30,600mm dia,,14668.37,14668.37,14668.37,14665.36
BWDB,44-130-40,700mm dia,,17073.34,17073.34,17073.34,17070.34
BWDB,44-130-50,800mm dia,,19499.18,19499.18,19499.18,19495.95
BWDB,44-130-60,900mm dia,,21904.15,21904.15,21904.15,21900.93
BWDB,44-130-70,250 mm dia,,6205.05,6205.05,6205.05,6202.69
BWDB,44-130-80,200 mm dia. B| 3/5) 8) 3] 8/ 8/3,,5113.0,5113.0,5113.0,5110.63
BWDB,44-240-10,"U-Type, hot-rolled. steel sheet pile width= 400mm to 600mm: height=> 100mm, Thickness>=10.5mm. (+0.50mm) m.ton",,116567.56,116567.56,116567.56,116567.56
BWDB,44-240-20,"U-Type, hot-rolled steel sheet pile width= 400mm to 600mm: height=> 130mm, Thickness>=13.0mm, (+0,50mm) m.ton",,116567.56,116567.56,116567.56,116567.56
BWDB,44-240-30,"U-Type, hot-rolled steel sheet pile width= 400mm to 600mm: height=> 170mm, Thickness>=15.5mm. (¢0.50mm) m.ton",,116567.56,116567.56,116567.56,116567.56
BWDB,44-250-10,"U-Type Plastic Sheet Pile : width= 400mm to 600mm, height=> 200mm, Thickness>=9.0 mm",sqm,12024.86,12024.86,12024.86,12024.86
BWDB,44-260-10,Upto 6.50 m depth,sqm,1592.03,1580.74,1580.74,1549.5
BWDB,44-270-10,Flat Type : Upto 4.50 m depth.,sqm,1395.54,1373.07,1373.07,1332.19
BWDB,44-270-20,U-Type or any other type : Upto 4.50 m depth.,sqm,1854.46,1829.22,1829.22,1766.53
BWDB,44-290-10,Flat Type : Upto 6.50 m depth.,sqm,1226.44,1216.89,1216.89,1199.15
BWDB,44-290-20,Flat Type : Upto 12.50 m depth.,sqm,1793.27,1783.72,1783.72,1766.71
BWDB,44-290-40,eye orany other type : Upto 12.50] sam,,2390.35,2379.06,2379.06,2349.11
BWDB,44-310-00,/bitumen in expansion joints or on top| sam,,615.42,615.38,615.38,607.58
BWDB,44-320-00,length and shape as per requirement in m . . . . design and drawing and as per direction of Engineer in charge. 207(L) | 44-320-10 |Upto 10mm thick.,m,50.2,49.94,49.94,47.69
BWDB,44-320-20,Above 10mm thick.,m,59.56,59.24,59.24,56.42
BWDB,44-330-00,Including necessary modification of] m%,,1003.71,1002.35,1002.35,990.09
BWDB,44-340-00,/requirement including supply off ™,,477.96,476.43,476.43,464.34
BWDB,44-360-00,@ditional weight where necessary etc. SL. No [item Code Description of Item Unit,sqm,3714.53,3694.2,3694.2,3682.76
BWDB,44-360-10,10.00 m to 3.00 m.,sqm,1125.82,1117.25,1116.89,1082.73
BWDB,44-360-20,3.00 m to 6.00,m,1445.0,1435.13,1434.59,1389.61
BWDB,44-360-30,16.00 m to 9.00 m.,sqm,2071.41,2058.74,2057.93,1991.01
BWDB,44-360-40,Above 9.00 m.,sqm,3396.09,3372.57,3371.76,3238.65
BWDB,44-40-15,"eee Vol. 0.15 cum/m,) 1,",,626.07,613.77,61837.0,610.02
BWDB,44-40-40,on Vol. 0.25 cum/m) i,,1017.37,996.88,1004.55,990.41
BWDB,44-400-00,depth of,,213.0,44.0,400.0,6.5
BWDB,48-10-00,"200mm, with all leads and lifts.) 1",,39.26,38.77,38.77,3681.0
BWDB,48-210-00,"45cm, supplying 10.0 kg of manure &|",each,536.09,530.36,530.36,507.44
BWDB,48-220-00,OY digging,,218.0,48.0,220.0,45.0
BWDB,48-230-00,"plantation of trees, as per direction of} kg - . - . Engineer in charge.",each,297.0,291.13,291.13,274.55
BWDB,48-230-10,Cow dung,kg,1.84,1.84,1.84,1.84
BWDB,48-230-20,salt,kg,42.95,42.95,42.95,42.95
BWDB,48-230-30,Urea,kg,30.68,30.68,30.68,30.68
BWDB,48-230-40,Daow,each,368.11,368.11,368.11,368.11
BWDB,48-230-50,Kodal (standard size),each,552.16,552.16,552.16,552.16
BWDB,48-230-60,Tukri (standard size),each,147.24,147.24,147.24,147.24
BWDB,48-230-70,Nirani (standard size),each,184.05,184.05,184.05,184.05
BWDB,48-230-80,Bucket (25 cm to 31 cm),each,306.76,306.76,306.76,306.76
BWDB,48-230-90,Water sprayer,each,220.86,220.86,220.86,220.86
BWDB,48-300-00,including fixing by barrack bamboo],each,333.36,308.01,308.01,317.0
BWDB,60-20-50,i leanest. mix. 1:2:4 with stone} son,,694.52,723.8,641.59,633.89
BWDB,60-20-79,In_ leanest_ mix. 1:3:6 with stone) cam,,641.18,672.07,586.26,578.54
BWDB,60-220-30,ihama/Ist. class brick chips; 50mm] sam,,546.22,534.17,537.13,522.47
BWDB,60-220-40,jhama/Ist. class brick chips; 75mm],sqm,822.92,804.66,809.1,787.47
BWDB,60-240-00,bricks in clean water for,,229.0,60.0,240.0,6.0
BWDB,60-240-10,With first class bricks.,sqm,750.79,737.28,745.35,713.78
BWDB,60-250-00,"4427:2007(E)), PN-10 (nominal} ™ - - - - pressure for PN-10 is 1.0 MPa according to ISO",,250.0,4427.0,2007.0,10.0
BWDB,60-250-05,"Pipe, HDPE, 100 mm dia",m,942.57,942.57,942.57,940.57
BWDB,60-250-10,"Pipe, HDPE, 150 mm dia",m,1714.14,1714.14,1714.14,1710.69
BWDB,60-250-15,"Pipe, HDPE, 225 mm dia",m,3719.98,3719.98,3719.98,3714.67
BWDB,60-250-20,"Pipe, HDPE, 300 mm dia",m,6710.51,6710.51,6710.51,6703.32
BWDB,60-250-25,"Pipe, HDPE, 450 mm dia",m,15261.69,15261.69,15261.69,15251.5
BWDB,60-250-30,"Pipe, HDPE, 500 mm dia",m,18758.55,18758.55,18758.55,18746.64
BWDB,60-250-35,"Pipe, HDPE, 600 mm dia",m,26558.09,26558.09,26558.09,26544.39
BWDB,60-250-40,"Pipe, HDPE, 750 mm dia",m,40161.71,40161.71,40161.71,40141.36
BWDB,60-250-45,"Pipe, HDPE, 900 mm dia",m,53460.24,53460.24,53460.24,53434.55
BWDB,60-250-50,"Pipe, HDPE, 1050 mm dia",m,70202.17,70202.17,70202.17,70170.18
BWDB,60-250-55,"Pipe, HDPE, 1200 mm dia",m,85286.86,85286.86,85286.86,85247.29
BWDB,60-250-60,"Pipe, HDPE, 1350 mm dia",m,99593.46,99593.46,99593.46,99543.36
BWDB,60-260-00,minimum,,231.0,60.0,260.0,28.0
BWDB,60-280-00,Strength of,,232.0,60.0,280.0,25.0
BWDB,60-280-05,RCC Socket : 170mm dia.,each,596.77,595.19,593.7,580.75
BWDB,60-280-10,RCC Socket : 220mm dia.,each,619.0,617.44,615.62,602.5
BWDB,60-280-15,RCC Socket : 305mm dia.,each,657.75,656.22,653.82,640.39
